"the_date","the_sentence","Revision","newtext"
2004-01-13,"It is clear that we have to do something, but do we have to bring in this inefficient system that has already been used abroad and abandoned?","Present","It is clear that we have to do something, but do we have to bring in this inefficient system that has already been used abroad and abandoned?"
2000-03-15,"Amendment No. 1 and the other Government amendments are technical amendments concerning proscription, and I will not go into the detail of them.","Present","Amendment No. 1 and the other Government amendments are technical amendments concerning proscription, and I will not go into the detail of them."
2012-05-10,"It is no surprise that the Secretary of State is running scared of publishing the risk register, because, as the House should not forget, an awful lot of measures now come through secondary legislation because the Government left a lot of detail out of the Health and Social Care Bill.","Past","It is no surprise that the Secretary of State is running scared of publishing the risk register, because, as the House should not forget, an awful lot of measures now come through secondary legislation because the Government left a lot of detail out of the Health and Social Care Bill."
1992-06-23,"Not all of them work at the airport.","Present","Not all of them work at the airport."
1987-11-10,"My Honourable Friends will recall that there were 1,500 at the relevant count and that only the widgeon and the dunlin were more numerous when the count took place.","Past","My Honourable Friends will recall that there were 1,500 at the relevant count and that only the widgeon and the dunlin were more numerous when the count took place."
1988-02-03,"It will help us to sustain the growth in exports to China, which have increased from £180 million in 1983 to £536 million in 1986.","Past","It will help us to sustain the growth in exports to China, which have increased from £180 million 5 years and one month ago to £536 million 2 years and one month ago."
2013-11-27,"One in eight men will be diagnosed with prostate cancer, the silent killer of middle-aged men.","Future","One in eight men will be diagnosed with prostate cancer, the silent killer of middle-aged men."
2000-11-21,"I have to give my decision without stating any reasons.","Present","I have to give my decision without stating any reasons."
2000-01-13,"I agree that the debate raises data protection issues.","Present","I agree that the debate raises data protection issues."
1994-10-25,"How many persons are in prison in England and Wales, and what advice has she had from the medical units in those prisons?","Present","How many persons are in prison in England and Wales, and what advice has she had from the medical units in those prisons?"
1981-11-24,"I quoted separately the ceilings and the actual expenditure.","Present","I quoted separately the ceilings and the actual expenditure."
1991-08-17,"They wanted to say what had been agreed previously—all those bland statements about apple pie and motherhood.","Past","They wanted to say what had been agreed previously—all those bland statements about apple pie and motherhood."
2006-03-01,"Does my Honourable Friend agree that that is a farcical position for us to find ourselves in?","Present","Does my Honourable Friend agree that that is a farcical position for us to find ourselves in?"
1979-10-25,"I understand—it was mentioned by the Honourable Member for Maidstone (Mr Wells)—that the association of bee farmers has protested about the element in the Bill which provides for the destruction of bees without the provision of compensation to the bee keeper.","Present","I understand—it was mentioned by the Honourable Member for Maidstone (Mr Wells)—that the association of bee farmers has protested about the element in the Bill which provides for the destruction of bees without the provision of compensation to the bee keeper."
1979-05-17,"Will the Honourable Lady now give us the figures for February and October 1974?","Past","Will the Honourable Lady now give us the figures for February and 4 years and 7 months ago?"
2000-05-08,"We are introducing a requirement that every arts organisation in receipt of public funds should have an access policy for young people that includes an element of free or concessionary tickets.","Present","We are introducing a requirement that every arts organisation in receipt of public funds should have an access policy for young people that includes an element of free or concessionary tickets."
1994-02-07,"What was the involvement of the Attorney-General's Parliamentary Private Secretary in the matter?","Past","What was the involvement of the Attorney-General's Parliamentary Private Secretary in the matter?"
1991-05-17,"Including the United States?","Present","Including the United States?"
1995-01-11,"The Minister will be aware that the Halifax employs more than 3,000 people in my constituency and that the Leeds Permanent employs more than 1,000 people in Leeds.","Present","The Minister will be aware that the Halifax employs more than 3,000 people in my constituency and that the Leeds Permanent employs more than 1,000 people in Leeds."
1982-03-30,"The timing and cost of future phases will be considered, but the estimate is totally out of accord with what the Honourable Member for West Lothian (Mr Dalyell) said.","Present","The timing and cost of future phases will be considered, but the estimate is totally out of accord with what the Honourable Member for West Lothian (Mr Dalyell) said."
2001-10-08,"As the weeks and months go by, there are bound to be strains and splits arising within the alliance.","Future","As the weeks and months go by, there are bound to be strains and splits arising within the alliance."
2002-03-20,"Is she aware that if the Government do not act, we will?","Future","Is she aware that if the Government do not act, we will?"
1991-11-26,"Labour has said that it will repeal part I of the Bill, but it is bereft of any alternative ideas.","Future","Labour has said that it will repeal part I of the Bill, but it is bereft of any alternative ideas."
1996-05-20,"In addition, under new criteria, every physical education teacher will be required to be equipped to take competitive team games, including one mainstream winter game and one mainstream summer game—and that definitely includes cricket.","Present","In addition, under new criteria, every physical education teacher will be required to be equipped to take competitive team games, including one mainstream winter game and one mainstream summer game—and that definitely includes cricket."
1998-06-17,"Those sources must be protected, and reasons must not be given for doing that.","Present","Those sources must be protected, and reasons must not be given for doing that."
1995-02-27,"Madam Speaker, will you clarify the conditions under which a Member of Parliament can be told that he should not put down any more questions on the same subject on the ground that it is part of a campaign?","Present","Madam Speaker, will you clarify the conditions under which a Member of Parliament can be told that he should not put down any more questions on the same subject on the ground that it is part of a campaign?"
2007-04-16,"It would not be convincing for me to give a categorical and blanket assurance, but I would expect that the vast majority of commitments currently entered into by the lottery will be seen through, regardless of the take in 2009 that will affect future commitments and future plans.","Future","It would not be convincing for me to give a categorical and blanket assurance, but I would expect that the vast majority of commitments currently entered into by the lottery will be seen through, regardless of the take one year and 8 months from now that will affect future commitments and future plans."
1986-03-18,"The Honourable Gentleman ought to know from his experience that as soon as traffic goes on to that relief road more traffic will come in to the Corstorphine road and the Gorgie-Dalry roads, as those roads are at present relatively empty.","Present","The Honourable Gentleman ought to know from his experience that as soon as traffic goes on to that relief road more traffic will come in to the Corstorphine road and the Gorgie-Dalry roads, as those roads are at present relatively empty."
1984-04-10,"Does my right Honourable Friend agree that it is very sad that Miss Zola Budd should have to seek citizenship of another country in order to exercise her talents, and that she and her Government should be congratulated on striking a blow for freedom in sport by enabling that young lady to have at least an opportunity to demonstrating her abilities at the Olympic games?","Present","Does my right Honourable Friend agree that it is very sad that Miss Zola Budd should have to seek citizenship of another country in order to exercise her talents, and that she and her Government should be congratulated on striking a blow for freedom in sport by enabling that young lady to have at least an opportunity to demonstrating her abilities at the Olympic games?"
2012-06-21,"Sweden has a single exam board and has had no grade inflation for the past 20 years.","Past","Sweden has a single exam board and has had no grade inflation for the past 20 years."
1991-04-18,"If not, when will the United Nations become directly involved in the responsibility for security and administration of the safe havens?","Future","If not, when will the United Nations become directly involved in the responsibility for security and administration of the safe havens?"
2011-12-15,"This week I attended the screening of “The Iron Lady” and was disturbed by the way in which the film portrayed its subject.","Present","This week I attended the screening of “The Iron Lady” and was disturbed by the way in which the film portrayed its subject."
1999-10-21,"So far, his words about getting beef back into France have been as empty as his trolley.","Present","So far, his words about getting beef back into France have been as empty as his trolley."
1980-05-07,"Does he remember that when he last left office he left 300,000 people in Scotland on a three-day week?","Past","Does he remember that when he last left office he left 300,000 people in Scotland on a three-day week?"
1981-03-16,"Can my right Honourable Friend offer a prospect of action on the problem of the importation of cut-price pianos which have been brought in from East Germany and Poland at commercially unreal prices in an attempt, presumably, to earn hard currency in the West?","Present","Can my right Honourable Friend offer a prospect of action on the problem of the importation of cut-price pianos which have been brought in from East Germany and Poland at commercially unreal prices in an attempt, presumably, to earn hard currency in the West?"
2004-01-30,"The provisions that he has described already exist in building regulations, and I know the cost that that involves as I had to get a roof supported.","Present","The provisions that he has described already exist in building regulations, and I know the cost that that involves as I had to get a roof supported."
2000-03-21,"Labour Members should stop trying to re-fudge the figures on which the Front Bench has at last come clean.","Present","Labour Members should stop trying to re-fudge the figures on which the Front Bench has at last come clean."
1986-03-26,"The Minister of State tried, rather hamfistedly as usual, to defend himself.","Past","The Minister of State tried, rather hamfistedly as usual, to defend himself."
1994-12-20,"That is not exactly the same as giving it to healthy people.","Present","That is not exactly the same as giving it to healthy people."
2008-04-29,"We would not, for example, want company cars, or even the First Minister's car, to be defined as working vehicles.","Present","We would not, for example, want company cars, or even the First Minister's car, to be defined as working vehicles."
2010-03-09,"The point that we are all making is that none of this is being done other than completely in secret.","Present","The point that we are all making is that none of this is being done other than completely in secret."
1994-10-20,"Is not it about time that the Secretary of State for Health was accountable to the House for her actions or non-actions?","Present","Is not it about time that the Secretary of State for Health was accountable to the House for her actions or non-actions?"
1999-07-06,"However, we can only measure those signs locally, not nationally.","Present","However, we can only measure those signs locally, not nationally."
1998-01-23,"I agreed without hesitation to be one of the Bill's sponsors when the Honourable Member for Ribble Valley (Mr Evans) asked me, but he gave me no support whatever on my Bill last year.","Past","I agreed without hesitation to be one of the Bill's sponsors when the Honourable Member for Ribble Valley (Mr Evans) asked me, but he gave me no support whatever on my Bill last year."
1985-11-14,"You, Mr Speaker, know better than most how hard I have tried in the last 48 hours to confirm the details of the widely leaked agreement.","Past","You, Mr Speaker, know better than most how hard I have tried in the last 48 hours to confirm the details of the widely leaked agreement."
1994-01-24,"Has anyone thought the point through?","Present","Has anyone thought the point through?"
1980-07-09,"The Honourable Gentleman is always happy when comparing apples with oranges.","Present","The Honourable Gentleman is always happy when comparing apples with oranges."
1980-04-24,"Will my right Honourable Friend bear in mind that what ma; appear to be a developing country in one context is, in some manufacturing contexts, highly developed and may be competing, quite unfairly, with our own producers?","Present","Will my right Honourable Friend bear in mind that what ma; appear to be a developing country in one context is, in some manufacturing contexts, highly developed and may be competing, quite unfairly, with our own producers?"
2009-11-19,"For him, ""Move Over, Darling"" is not a film starring Doris Day, it is an operation he has probably subcontracted to Damian McBride.","Present","For him, ""Move Over, Darling"" is not a film starring Doris Day, it is an operation he has probably subcontracted to Damian McBride."
1984-07-31,"No, we have finished with Prime Minister's Questions.","Present","No, we have finished with Prime Minister's Questions."
2006-06-29,"The problem with FE and adult skills is that to prioritise everything is to prioritise nothing.","Present","The problem with FE and adult skills is that to prioritise everything is to prioritise nothing."
1987-07-06,"In real terms, that means more hospitals or teachers, more homes and carers.","Present","In real terms, that means more hospitals or teachers, more homes and carers."
2011-03-29,"Can he explain why that small number differs so markedly from the autumn predictions of the Prime Minister that thousands would be repatriated?","Present","Can he explain why that small number differs so markedly from the autumn predictions of the Prime Minister that thousands would be repatriated?"
1982-12-22,"Does my Honourable Friend agree that the overseas service of the BBC is something of which we can be proud?","Present","Does my Honourable Friend agree that the overseas service of the BBC is something of which we can be proud?"
2002-04-24,"Bill ordered to be brought in by Mr Ian Liddell-Grainger, Mr Keith Simpson, Mr Oliver Letwin, Hugh Robertson, Mr Michael Jack, Mr Mark Prisk, Mr David Heath, Mr Jonathan Djanogly, Dr.","Present","Bill ordered to be brought in by Mr Ian Liddell-Grainger, Mr Keith Simpson, Mr Oliver Letwin, Hugh Robertson, Mr Michael Jack, Mr Mark Prisk, Mr David Heath, Mr Jonathan Djanogly, Dr."
2003-02-28,"Has the Honourable Gentleman ever thought about taking up pantomime?","Present","Has the Honourable Gentleman ever thought about taking up pantomime?"
2003-11-11,"My Honourable Friend makes an important point, and we continue to encourage the Pakistani authorities to ensure that the obligations that they have publicly given to crack down on infiltration across the border into the Indian side of the line of control are observed in practice.","Present","My Honourable Friend makes an important point, and we continue to encourage the Pakistani authorities to ensure that the obligations that they have publicly given to crack down on infiltration across the border into the Indian side of the line of control are observed in practice."
1986-01-14,"It believes that if the directive is not adopted, cars sold in the United Kingdom will cause more pollution than cars sold in Germany or other European countries.","Present","It believes that if the directive is not adopted, cars sold in the United Kingdom will cause more pollution than cars sold in Germany or other European countries."
2007-07-11,"The Select Committee on Health recently produced a report on work force planning, which highlighted the fact that there does not seem to be much in the way of such planning.","Future","The Select Committee on Health recently produced a report on work force planning, which highlighted the fact that there does not seem to be much in the way of such planning."
1993-10-29,"No offence would arise in the woman's simply considering an opening or opportunity.","Present","No offence would arise in the woman's simply considering an opening or opportunity."
1993-06-08,"Does my Honourable Friend agree, given that the health service is available to patients free at the time when they need it, that it is in their interest that market forces should operate in the system, that there should he competition between providers and that there can be competition between purchasers?","Present","Does my Honourable Friend agree, given that the health service is available to patients free at the time when they need it, that it is in their interest that market forces should operate in the system, that there should he competition between providers and that there can be competition between purchasers?"
2007-05-01,"They are opposed regularly by the British Government and by our diplomats in Iraq.","Present","They are opposed regularly by the British Government and by our diplomats in Iraq."
2012-10-17,"He said that the introduction of the fee structure could have an impact on the effectiveness of conciliation at ACAS.","Present","He said that the introduction of the fee structure could have an impact on the effectiveness of conciliation at ACAS."
2012-05-09,"I can see the logic behind the change to monthly payments, but it is clear that some who get weekly payments are not knowledgeable enough to know how to manage their moneys.","Present","I can see the logic behind the change to monthly payments, but it is clear that some who get weekly payments are not knowledgeable enough to know how to manage their moneys."
1989-05-19,"That is not some form of latter-day feather bedding.","Present","That is not some form of latter-day feather bedding."
1982-07-13,"My first aim is a partnership between the private and public sectors.","Present","My first aim is a partnership between the private and public sectors."
1980-07-21,"That, surely to goodness, cannot be an unfair question, but nothing was more typical than the reaction—","Present","That, surely to goodness, cannot be an unfair question, but nothing was more typical than the reaction—"
2000-04-18,"The Honourable Member for Banbury (Mr Baldry) attended very—","Present","The Honourable Member for Banbury (Mr Baldry) attended very—"
1999-02-26,"Conservative Members missed the point in making the reference that they did to access to the report by the Commissioner of Police of the Metropolis.","Present","Conservative Members missed the point in making the reference that they did to access to the report by the Commissioner of Police of the Metropolis."
1992-04-27,"The decision whether to accept a private notice question often can alter events outside the House.","Present","The decision whether to accept a private notice question often can alter events outside the House."
1994-12-02,"Different countries classify crime differently.","Present","Different countries classify crime differently."
1980-06-13,"Does not the right Honourable Gentleman think that his reaction to these events is surprisingly mild?","Present","Does not the right Honourable Gentleman think that his reaction to these events is surprisingly mild?"
2001-03-16,"I feel swamped by seduction and persuasion.","Present","I feel swamped by seduction and persuasion."
1981-06-08,"Government amendments Nos. 7, 98, 100 and 112.","Present","Government amendments Nos. 7, 98, 100 and 112."
2009-12-02,"Is the Deputy Leader of the House at all surprised that the ex-Member of Parliament chosen served for only such a short time in the House?","Past","Is the Deputy Leader of the House at all surprised that the ex-Member of Parliament chosen served for only such a short time in the House?"
1995-10-27,"I was recently in the United States to see the Seattle Seahawks play at their home ground, the Kingdome, and it brought home to me the fact that we are woefully under-provided with really big facilities compared with what the Americans have.","Present","I was recently in the United States to see the Seattle Seahawks play at their home ground, the Kingdome, and it brought home to me the fact that we are woefully under-provided with really big facilities compared with what the Americans have."
1990-03-06,"Why does he not tell us about the underlying trend—that imports are no longer rising, while exports are rising by 15 per cent. in volume?","Present","Why does he not tell us about the underlying trend—that imports are no longer rising, while exports are rising by 15 per cent. in volume?"
2009-05-19,"Is he aware that it is possible to prosecute effectively if police and prosecution authorities work together to protect prostituted women?","Present","Is he aware that it is possible to prosecute effectively if police and prosecution authorities work together to protect prostituted women?"
2015-01-14,"Will the Prime Minister join me in condemning the barbaric and mediaeval regime of Saudi Arabia, and does he believe that our international alliances should be founded more on human rights and less on economic muscle?","Present","Will the Prime Minister join me in condemning the barbaric and mediaeval regime of Saudi Arabia, and does he believe that our international alliances should be founded more on human rights and less on economic muscle?"
2004-02-12,"We have recruited thousands of extra nurses, doctors and consultants to make sure that waiting times are driven down to give people relief from pain, and the Leader of the Opposition is saying that we are spending too much money.","Past","We have recruited thousands of extra nurses, doctors and consultants to make sure that waiting times are driven down to give people relief from pain, and the Leader of the Opposition is saying that we are spending too much money."
2014-03-20,"He arrived in Chesterfield in 1984 and, unusually, at the time he became our Member of Parliament he was already famous.","Past","He arrived in Chesterfield 30 years and 2 months ago and, unusually, at the time he became our Member of Parliament he was already famous."
2006-10-26,"Surely what my Honourable Friend the Member for South Ribble (Mr Borrow) has said about the future of a Europe with 27 members makes the case for a looser arrangement of independent democratic states, co-operating voluntarily for mutual benefit when that is appropriate, rather than a centralised European state.","Present","Surely what my Honourable Friend the Member for South Ribble (Mr Borrow) has said about the future of a Europe with 27 members makes the case for a looser arrangement of independent democratic states, co-operating voluntarily for mutual benefit when that is appropriate, rather than a centralised European state."
1989-04-11,"Does my Honourable Friend agree that if pensioners had received this week the pension increases that they ought to have received they would even have been able to afford a pair of the special long johns from Harrods that the Honourable Member for Derbyshire, South (Mrs Currie) suggested, when she was a Minister, they ought to wear to keep warm in winter?.","Present","Does my Honourable Friend agree that if pensioners had received this week the pension increases that they ought to have received they would even have been able to afford a pair of the special long johns from Harrods that the Honourable Member for Derbyshire, South (Mrs Currie) suggested, when she was a Minister, they ought to wear to keep warm in winter?."
2002-07-15,"Does the Honourable Gentleman think that we should be able to select people who are better at, say, soccer or ballet to go to schools that specialise in those areas, or does he think that anyone should be able to go to those schools?","Present","Does the Honourable Gentleman think that we should be able to select people who are better at, say, soccer or ballet to go to schools that specialise in those areas, or does he think that anyone should be able to go to those schools?"
1980-06-24,"Not only has the Labour Party no policies, but its policies—","Present","Not only has the Labour Party no policies, but its policies—"
1984-02-10,"Each hospital is a profit centre on its own basis.","Present","Each hospital is a profit centre on its own basis."
2015-01-14,"Does my right Honourable Friend not agree that having that yo-yo system would massively impact on continuity of supply, because we would not be able to have long-term contracts to guarantee the delivery and supply of gas to this nation?","Present","Does my right Honourable Friend not agree that having that yo-yo system would massively impact on continuity of supply, because we would not be able to have long-term contracts to guarantee the delivery and supply of gas to this nation?"
1990-02-19,"Previously, residents in some homes had been treated as though they were exempt from licensing, while others were required to pay the full licence fee.","Past","Previously, residents in some homes had been treated as though they were exempt from licensing, while others were required to pay the full licence fee."
2008-11-17,"Amber Valley has an outstanding sports development and leadership programme, including holiday programmes working with schools and even a mini-Olympics.","Present","Amber Valley has an outstanding sports development and leadership programme, including holiday programmes working with schools and even a mini-Olympics."
2014-11-21,"I am sure every Member is aware of the horror stories we have heard concerning adult social care, where 307,000 workers are employed on zero-hours contracts.","Present","I am sure every Member is aware of the horror stories we have heard concerning adult social care, where 307,000 workers are employed on zero-hours contracts."
2010-02-24,"I agree with my Honourable Friends the Members for Sherwood (Paddy Tipping) and for Morley and Rothwell (Colin Challen) that this debate might, unfortunately, be characterised as a debate between vertebrates and invertebrates.","Present","I agree with my Honourable Friends the Members for Sherwood (Paddy Tipping) and for Morley and Rothwell (Colin Challen) that this debate might, unfortunately, be characterised as a debate between vertebrates and invertebrates."
2014-07-14,"The Royal British Legion and SSAFA have set up a new military charities advice service in Hereford and in Ross-on-Wye, supported by Herefordshire council.","Past","The Royal British Legion and SSAFA have set up a new military charities advice service in Hereford and in Ross-on-Wye, supported by Herefordshire council."
2008-01-24,"What recent discussions he has had on the taxation regime for bingo clubs.","Past","What recent discussions he has had on the taxation regime for bingo clubs."
1998-05-18,"We have to anticipate anything.","Future","We have to anticipate anything."
2000-02-22,"In the bombing, many civilians, but few members of the Serbian military, were killed.","Past","In the bombing, many civilians, but few members of the Serbian military, were killed."
2013-06-10,"I am not sure that I can put my finger on the precise function of the establishment mentioned by the Honourable Lady, but we have a separate programme to outsource some of the defence logistics and commodity procurement activities, which I mentioned earlier.","Present","I am not sure that I can put my finger on the precise function of the establishment mentioned by the Honourable Lady, but we have a separate programme to outsource some of the defence logistics and commodity procurement activities, which I mentioned earlier."
1989-05-10,"I agree with him absolutely that there is no reason why the Soviet Union should not reduce its weapons of that kind unilaterally to NATO levels.","Present","I agree with him absolutely that there is no reason why the Soviet Union should not reduce its weapons of that kind unilaterally to NATO levels."
2014-04-10,"In February, UK exports actually fell.","Past","In February, UK exports actually fell."
1990-06-06,"There has been a 34 per cent. increase in the real value of take-home pay for a married man on average earnings with two children, compared with an increase of less than 1 per cent. under the last Labour Government.","Past","There has been a 34 per cent. increase in the real value of take-home pay for a married man on average earnings with two children, compared with an increase of less than 1 per cent. under the last Labour Government."
2009-07-03,"This is probably the crux of the issue.","Present","This is probably the crux of the issue."
2014-04-09,"Does my Honourable Friend think that the Honourable Member for South West Bedfordshire (Andrew Selous) was seriously suggesting that £3.85 a week would encourage more couples to stay married?","Present","Does my Honourable Friend think that the Honourable Member for South West Bedfordshire (Andrew Selous) was seriously suggesting that £3.85 a week would encourage more couples to stay married?"
1993-02-04,"Spain, Portugal, Ireland and Greece will have to reduce their public borrowing to 3 per cent.—or at least produce programmes designed to reduce it—to get the money.","Future","Spain, Portugal, Ireland and Greece will have to reduce their public borrowing to 3 per cent.—or at least produce programmes designed to reduce it—to get the money."
1990-03-01,"Has the Minister been made aware of the claim by Mr Justice Hughes that not all the papers concerning Kincora were made available to him?","Past","Has the Minister been made aware of the claim by Mr Justice Hughes that not all the papers concerning Kincora were made available to him?"
1983-07-15,"In the United Kingdom the causes were found to be laziness, chronic unemployment and drink.","Past","In the United Kingdom the causes were found to be laziness, chronic unemployment and drink."
1993-06-23,"I think that we see in many parts of the Community a more philosophical approach than was once the case.","Present","I think that we see in many parts of the Community a more philosophical approach than was once the case."
1986-04-16,"Does the Minister recall that during the long Phoenix 2 negotiations some engineering companies, which then had two choices of supplier, said that they would probably have to look overseas for second sourcing if a United Kingdom monopoly were established?","Past","Does the Minister recall that during the long Phoenix 2 negotiations some engineering companies, which then had two choices of supplier, said that they would probably have to look overseas for second sourcing if a United Kingdom monopoly were established?"
1980-07-29,"The Tory Party became known in my area as the party that created unemployment.","Past","The Tory Party became known in my area as the party that created unemployment."
2007-06-29,"I have said, and I shall keep saying, that a region exists purely for administrative purposes, whether to do with the Government, the European Union or whatever.","Present","I have said, and I shall keep saying, that a region exists purely for administrative purposes, whether to do with the Government, the European Union or whatever."
2011-06-27,"Have you been there?","Past","Have you been there?"
2002-02-12,"I turn briefly to tribunals.","Present","I turn briefly to tribunals."
2005-06-16,"The debate and the IMC reports on which the measure rests are a salutary reminder of how far the IRA has to go.","Present","The debate and the IMC reports on which the measure rests are a salutary reminder of how far the IRA has to go."
1997-01-17,"That was confirmed in March last year by council officials.","Past","That was confirmed in March last year by council officials."
1987-10-26,"Perhaps the Honourable Gentleman will say whether he agrees that there should be no automatic right to carry guns through crowded cities or to leave shotguns unattended in the back of Land Rovers in market squares.","Present","Perhaps the Honourable Gentleman will say whether he agrees that there should be no automatic right to carry guns through crowded cities or to leave shotguns unattended in the back of Land Rovers in market squares."
2003-12-08,"Amendment (l) is important.","Present","Amendment (l) is important."
2015-01-05,"Where was the Secretary of State over Christmas?","Past","Where was the Secretary of State over Christmas?"
2006-03-22,"Today, soldiers from 36 Engineer Regiment serve all over the world in Iraq, Afghanistan, Belize, Norway, Gibraltar, Kenya, Brunei, the Balkans, Nepal, Cyprus and Canada, as well as Northern Ireland.","Present","Today, soldiers from 36 Engineer Regiment serve all over the world in Iraq, Afghanistan, Belize, Norway, Gibraltar, Kenya, Brunei, the Balkans, Nepal, Cyprus and Canada, as well as Northern Ireland."
1990-10-31,"In 1975, it was £106 billion.","Past","15 years and 10 months ago, it was £106 billion."
2008-10-09,"He will be aware that the Chancellor said that Icelandic accounts had been frozen and that steps would be taken to recover the assets.","Past","He will be aware that the Chancellor said that Icelandic accounts had been frozen and that steps would be taken to recover the assets."
2003-03-06,"There is one phrase that Gurkhas probably learn fairly early.","Present","There is one phrase that Gurkhas probably learn fairly early."
2000-11-06,"His idea about council tax relief for affected businesses is interesting.","Present","His idea about council tax relief for affected businesses is interesting."
1998-07-15,"Does the Secretary of State agree that, in what has been a very bleak few weeks for the Province, when three innocent young children have been incinerated to death in what can only be described as a sectarian killing, an ethnic cleansing, there are two positive observations that the House can make?","Past","Does the Secretary of State agree that, in what has been a very bleak few weeks for the Province, when three innocent young children have been incinerated to death in what can only be described as a sectarian killing, an ethnic cleansing, there are two positive observations that the House can make?"
2003-03-03,"Although we continue to hope that diplomacy will avoid the need for the last resort of war, have we not already seen the opening shots of the second Gulf war?","Past","Although we continue to hope that diplomacy will avoid the need for the last resort of war, have we not already seen the opening shots of the second Gulf war?"
1991-10-31,"I said that the Government are not positive towards the European Community——","Present","I said that the Government are not positive towards the European Community——"
2005-11-01,"The Minister knows that the Commission does not have a good record on scrutiny and cannot stop fraud in its own offices.","Present","The Minister knows that the Commission does not have a good record on scrutiny and cannot stop fraud in its own offices."
1997-01-16,"The Prime Minister has stoutly refused to own up to his 1992 pledge not to extend VAT to fuel.","Past","The Prime Minister has stoutly refused to own up to his 1992 pledge not to extend VAT to fuel."
2012-02-22,"On Tuesday the Education Secretary said that the Prime Minister’s decision to set up the Leveson inquiry was having a “chilling” effect upon freedom of expression.","Past","On Tuesday the Education Secretary said that the Prime Minister’s decision to set up the Leveson inquiry was having a “chilling” effect upon freedom of expression."
1999-03-05,"They were more concerned about proper compensation, which is fair enough.","Past","They were more concerned about proper compensation, which is fair enough."
1996-05-22,"Is the Honourable Lady saying that she would commend local authorities that decide that they will think seriously about breaking the cap even before they know how much money they will get?","Present","Is the Honourable Lady saying that she would commend local authorities that decide that they will think seriously about breaking the cap even before they know how much money they will get?"
1992-12-10,"We must fight drugs at all costs.","Present","We must fight drugs at all costs."
2014-03-04,"Russia chose to do that and it must honour its international obligations.","Past","Russia chose to do that and it must honour its international obligations."
1990-03-21,"I agree with the Honourable Lady that people living rough in the area present a special problem.","Present","I agree with the Honourable Lady that people living rough in the area present a special problem."
1990-04-18,"Will my right Honourable Friend confirm that Sheffield Forgemasters acted in good faith throughout this affair?","Past","Will my right Honourable Friend confirm that Sheffield Forgemasters acted in good faith throughout this affair?"
2009-04-02,"Over the past few years, some 70 per cent. of world economic growth has come from those economies, and we must not let them down now.","Past","Over the past few years, some 70 per cent. of world economic growth has come from those economies, and we must not let them down now."
1980-12-05,"The right Honourable Gentleman is quoting from the staff in his Department.","Present","The right Honourable Gentleman is quoting from the staff in his Department."
1987-05-15,"There are the Badge Messengers and the police.","Present","There are the Badge Messengers and the police."
2006-03-09,"Returning to our discussion on ""mind the gap"", which has taken up most of the debate on this group of amendments, I am pleased that the Prime Minister agrees with us that it is levelling up that is important.","Present","Returning to our discussion on ""mind the gap"", which has taken up most of the debate on this group of amendments, I am pleased that the Prime Minister agrees with us that it is levelling up that is important."
2012-09-17,"I welcome any changes to qualifications that will better prepare young people for the transition to A-levels, because the gulf between GCSEs and O-levels is too great.","Present","I welcome any changes to qualifications that will better prepare young people for the transition to A-levels, because the gulf between GCSEs and O-levels is too great."
1985-02-15,"Does my right Honourable Friend agree that the Honourable Member for Barking (Ms Richardson) conceded that life exists from conception when she said that, within the 14-day period, some embryos live and some die?","Present","Does my right Honourable Friend agree that the Honourable Member for Barking (Ms Richardson) conceded that life exists from conception when she said that, within the 14-day period, some embryos live and some die?"
1989-03-08,"Is he aware that the British people are sick and tired of lager louts, layabouts and hooligans dragging the name of this country through the gutters of the world?","Present","Is he aware that the British people are sick and tired of lager louts, layabouts and hooligans dragging the name of this country through the gutters of the world?"
1996-11-29,"Let me ask a simple question: is it the Labour party's intention to scrap the tax—yes or no?","Future","Let me ask a simple question: is it the Labour party's intention to scrap the tax—yes or no?"
2011-03-02,"I know how angry the nonsense in the Army a couple of weeks ago, when sergeant-majors and warrant officers were sacked by e-mail, made the Secretary of State.","Past","I know how angry the nonsense in the Army a couple of weeks ago, when sergeant-majors and warrant officers were sacked by e-mail, made the Secretary of State."
1985-12-02,"I confirm that Manchester city has suggested how it might turn the airport into a public limited company.","Past","I confirm that Manchester city has suggested how it might turn the airport into a public limited company."
2000-12-07,"He, too, might like to bear in mind the attractions of Westminster Hall.","Present","He, too, might like to bear in mind the attractions of Westminster Hall."
2011-03-22,"As the questions of exit visas and bogus colleges and the success of our students and universities are a continuing matter of concern for the growth of the British economy, will my right Honourable Friend and the Business Secretary undertake to report back annually to Parliament on this matter, to ensure that the successful import of academics into this country can continue?","Future","As the questions of exit visas and bogus colleges and the success of our students and universities are a continuing matter of concern for the growth of the British economy, will my right Honourable Friend and the Business Secretary undertake to report back annually to Parliament on this matter, to ensure that the successful import of academics into this country can continue?"
1988-01-13,"I have in mind especially the payment by the Belgian Government of £3·5 million to Beaulieu, the biggest carpet manufacturer in the world, which, despite a recent European Court ruling, has not been repaid.","Past","I have in mind especially the payment by the Belgian Government of £3·5 million to Beaulieu, the biggest carpet manufacturer in the world, which, despite a recent European Court ruling, has not been repaid."
1992-12-08,"I very much share the strength of feeling and the sympathy that has gone out to those who are affected.","Present","I very much share the strength of feeling and the sympathy that has gone out to those who are affected."
1992-02-13,"October, when 1991 population figures for the United Kingdom and other EC countries will be available.","Future","October, when 1991 population figures for the United Kingdom and other EC countries will be available."
